state_code,latitude,longitude,zip_code,city,name,founded_at,closed_at,first_funding_at,last_funding_at,age_first_funding_year,age_last_funding_year,age_first_milestone_year,age_last_milestone_year,relationships,funding_rounds,funding_total_usd,hourly_mean,annual_mean,total_employees,labels
CA,37.79,-122.4,94104,San Francisco,Sportgenic,2005-09-01,2022-04-26,2007-01-01,2008-09-09,1.33,3.02,3.02,3.34,9,3,11489687,49.91,103816.66,103817,1
CA,37.35,-122.03,94087,Sunnyvale,Behavio,2012-06-12,2022-04-26,2012-06-01,2012-06-01,-0.03,-0.03,0.14,0.14,3,1,355000,48.78,101468.42,101468,1
CA,37.78,-122.4,94103,San Francisco,adBrite,2003-01-01,2001-02-01,2004-09-01,2012-05-01,1.67,9.34,7.38,10.47,17,4,40400000,49.91,103816.66,103817,1
TX,32.96,-96.82,75001,Dallas,Texert,2007-01-01,2008-07-14,2008-10-21,2008-10-21,1.81,1.81,,,1,1,3000000,41.18,85661.05,85661,0
CA,37.55,-121.99,94538,Fremont,Mendocino Software,2003-01-01,2008-02-07,2005-09-12,2007-01-01,2.7,4,1,1,2,2,19700000,48.78,101468.42,101468,0
CA,37.35,-121.99,95051,Santa Clara,QuikCycle,1998-01-01,2011-01-01,2007-03-01,2007-03-12,9.17,9.2,,,0,2,17800000,48.78,101468.42,101468,0
CA,37.78,-122.42,94107,San Francisco,Instagram,2010-03-01,2022-04-26,2010-03-05,2012-04-05,0.01,2.1,3.09,3.78,12,3,57500000,38.48,80031.11,80031,1
NY,40.61,-73.82,10004,New York,Motionbox,2006-01-01,2022-04-26,2006-09-01,2009-01-14,0.67,3.04,2,5.05,10,3,17200000,38.47,80030,80030,1
MA,42.38,-71.11,2138,Cambridge,AccelGolf,2008-08-01,2013-05-01,2008-01-01,2009-12-04,-0.58,1.34,0,1.55,4,7,457282,32.33,67240,67240,0
CA,37.78,-122.42,94105,San Francisco,MoPub,2010-09-09,2022-04-26,2010-09-01,2012-09-20,-0.02,2.03,2.32,3.16,11,4,18500000,32.57,67750,67750,1
NY,40.73,-74,10012,New York,Thumbplay,2004-09-01,2022-04-26,2006-10-30,2010-04-21,2.16,5.64,3.83,7.69,13,4,41500019,30.18,62775,62775,1
WV,39.39,-77.89,25430,Kearneysville,Plethora Technology,2000-01-01,2009-05-23,2005-06-09,2005-06-09,5.44,5.44,,,1,1,1000000,34.23,71209.45,71209,0
WA,47.61,-122.2,98004,Bellevue,SNAPin Software,2003-01-01,2022-04-26,2005-07-11,2006-02-07,2.53,3.1,3,9.13,5,2,22300000,49.3,102540.55,102541,1
CA,37.41,-121.98,95054,Santa Clara,Azuro,2002-01-01,2022-04-26,2006-01-01,2009-11-13,4,7.87,0.16,0.16,5,2,10000000,47.64,99100,99100,1
DC,37.09,-95.71,20007,Washington,ARPU,2005-05-01,2010-05-04,2006-07-01,2009-12-29,1.17,4.67,,,1,3,15564591,46.64,97013.34,97013,0
CA,37.78,-122.42,94110,San Francisco,Singly,2010-12-21,2022-04-26,2011-02-01,2012-04-23,0.12,1.34,1.83,2.67,24,2,8950000,47.99,99812.73,99813,1
NY,40.75,-73.98,10173,New York,TxVia,2006-01-01,2022-04-26,2007-10-01,2010-10-26,1.75,4.82,4,4.82,8,4,55350000,49.61,103186.66,103187,1
CA,37.41,-122.09,94043,Mountain View,Blue Vector Systems,2002-01-01,2010-08-31,2005-09-21,2005-09-21,3.72,3.72,,,1,1,4000000,39.32,81790,81790,0
IL,41.88,-87.64,60606,Chicago,Open Kernel Labs,2006-01-01,2022-04-26,2007-09-13,2012-07-06,1.7,6.52,3.28,4.93,3,5,10764323,40.75,84754.73,84755,1
NJ,40.54,-74.52,8873,Somerset,Elanti Systems,2007-01-01,2012-02-11,2008-05-29,2008-05-29,1.41,1.41,0,0,1,1,5500000,44.75,93073.69,93074,0
GA,34.07,-84.27,30009,Alpharetta,Visiprise,1985-01-01,2009-05-03,2005-10-17,2005-10-17,20.81,20.81,,,2,1,32000000,39.35,81845.79,81846,0
WA,39.78,-100.45,98104,Seattle,Hubspan,2000-01-01,2022-04-26,2005-10-14,2005-10-14,5.79,5.79,,,1,1,13000000,49.3,102540.55,102541,1
WA,47.61,-122.19,98004,Bellevue,iConclude,2005-01-01,2022-04-26,2005-02-01,2006-04-10,0.08,1.27,,,5,3,12500000,49.3,102540.55,102541,1
VA,39.04,-77.43,20166,Dulles,Anystream,2000-01-01,2022-04-26,2000-01-01,2007-02-07,0,7.11,6.01,10.9,9,3,59000000,45.16,93943.69,93944,1
CT,41.85,-72.7,6002,Bloomfield,Pocket Communications Northeast,2006-01-01,2012-01-01,2008-11-01,2009-02-20,2.84,3.14,3.38,3.78,0,2,125000000,30.16,62720,62720,0
CA,37.58,-122.35,94010,Burlingame,OpenFeint,2008-01-01,2022-04-26,2010-10-21,2010-10-21,2.81,2.81,3,4.65,6,1,3000000,40.82,84910,84910,1
CA,32.72,-117.16,92101,San Diego,Flud,2010-10-01,2013-08-08,2011-04-13,2012-09-01,0.53,1.92,2.25,2.98,12,3,2100000,61.65,128220,128220,0
CA,37.78,-122.42,94103,San Francisco,Chomp,2009-09-09,2022-04-26,2009-11-01,2010-03-11,0.15,0.5,0.5,3.01,10,2,2565000,32.57,67750,67750,1
CA,37.58,-122.37,94010,Burlingame,Origen Therapeutics,1997-01-01,2012-08-03,2007-10-03,2007-10-03,10.76,10.76,,,0,1,2000000,45.62,94894,94894,0
NY,40.73,-73.99,10003,New York,Qwiki,2009-10-01,2022-04-26,2010-07-10,2011-03-31,0.77,1.5,-0.59,3.75,14,3,10500000,40.36,83955.55,83956,1
MA,42.38,-71.24,2451,Waltham,Artisan Pharma,2006-01-01,2022-04-26,2006-09-06,2010-07-20,0.68,4.55,,,2,5,85381111,47.48,98770,98770,1
PA,40.44,-79.99,15213,Pittsburgh,Bueda,2009-01-04,2013-06-01,2008-01-01,2010-07-01,-1.01,1.49,0.41,1.32,3,2,125000,31.76,66040,66040,0
VA,38.96,-77.36,20191,Reston,Defywire,2003-01-01,2008-05-01,2005-04-26,2007-03-27,2.32,4.24,-0.33,-0.33,2,2,10600000,26.42,54960,54960,0
CA,37.55,-121.98,94538,Fremont,Silicon Clocks,2004-01-01,2022-04-26,2006-06-02,2009-06-08,2.42,5.44,2,2,2,3,26100000,47.64,99100,99100,1
IL,41.88,-87.62,60606,Chicago,Netgamix Inc,2010-09-24,2012-04-03,2011-10-15,2012-07-01,1.06,1.77,1.03,1.11,6,3,132885,28.02,58290,58290,0
CA,37.56,-122.3,95054,Santa Clara,Sentrigo,2006-10-01,2022-04-26,2007-05-08,2010-12-21,0.6,4.22,-0.75,4.48,9,3,9500000,48.78,101468.42,101468,1
GA,33.75,-84.39,30305,Atlanta,Firethorn,2001-01-01,2022-04-26,2006-03-01,2007-01-02,5.16,6.01,,,1,3,25131611,24.08,50090,50090,1
CA,37.4,-121.94,95134,San Jose,Wellcore,2007-01-01,2013-07-01,2010-07-12,2010-07-12,3.53,3.53,,,1,1,2000000,38.38,79840,79840,0
MA,42.36,-71.08,2142,Cambridge,Taligen Therapeutics,2004-01-01,2022-04-26,2005-08-01,2010-08-23,1.58,6.65,5.01,7.09,4,3,78750000,47.48,98770,98770,1
CA,37.55,-122.29,94403,San Mateo,Adap.tv,2006-11-01,2022-04-26,2007-02-01,2011-03-28,0.25,4.41,3.32,6.79,27,5,48500000,49.91,103816.66,103817,1
CA,37.32,-122.05,95008,Campbell,ParAccel,2007-01-01,2022-04-26,2007-12-10,2012-04-25,0.94,5.32,,,13,5,74000000,47.99,99812.73,99813,1
CA,36.94,-121.78,95019,Freedom,Appscio,2006-01-01,2011-01-01,2007-03-20,2009-01-03,1.21,3.01,,,4,2,7000000,48.78,101468.42,101468,0
NY,37.09,-95.71,10014,New York,SpiralFrog,2004-01-01,2009-03-20,2006-01-01,2007-12-01,2,3.92,3,5.22,8,3,45000000,38.47,80030,80030,0
CA,37.4,-121.99,95054,Santa Clara,Plusmo,2006-06-01,2022-04-26,2008-05-01,2008-05-01,1.92,1.92,2,2,4,1,4410000,32.57,67750,67750,1
CA,37.79,-122.4,94105,San Francisco,Involver,2007-01-01,2022-04-26,2008-09-02,2010-10-14,1.67,3.79,4.67,5.68,11,3,11040000,48.78,101468.42,101468,1
CA,37.78,-122.42,94107,San Francisco,Lionside,2009-01-01,2022-04-26,2010-11-19,2010-11-19,1.88,1.88,1.33,2.95,6,1,1600000,40.82,84910,84910,1
NY,40.74,-74,10011,New York,Game Trust,2002-01-01,2022-04-26,2005-06-01,2005-11-15,3.42,3.87,7.75,7.75,3,2,9000000,44.28,92095.55,92096,1
CA,37.55,-122.32,94403,San Mateo,Nearbuy Systems,2010-04-01,2022-04-26,2011-07-21,2012-11-23,1.3,2.65,0,3.68,4,3,3282327,47.99,99812.73,99813,1
GA,33.77,-84.39,30308,Atlanta,VT Silicon,2002-01-01,2010-09-20,2007-09-12,2008-11-19,5.7,6.89,,,2,2,8800000,48.84,101590,101590,0
CA,37.55,-121.98,94538,Fremont,HipLogic,2005-01-01,2022-04-26,2008-02-08,2009-12-02,3.1,4.92,5,8.35,10,2,11500000,32.57,67750,67750,1
CA,38.28,-122.67,94954,Petaluma,Dilithium Networks,2001-01-01,2012-10-01,2003-04-23,2010-06-03,2.31,9.42,4.5,11.42,12,7,98170000,32.57,67750,67750,0
IL,41.89,-87.62,60601,Chicago,Brickfish,2005-11-01,2022-04-26,2010-07-16,2010-07-16,4.71,4.71,2.99,6.86,17,1,940261,40.75,84754.73,84755,1
CO,39.57,-104.98,80112,Centennial,Internet Pawn,2009-01-01,2013-03-01,2010-05-05,2013-08-27,1.34,4.65,1.36,1.38,0,5,7228704,37.63,78270,78270,0
IL,41.94,-87.84,60631,Chicago,NeuroTherapeutics Pharma,2006-01-01,2013-06-01,2010-05-20,2011-12-15,4.38,5.96,5.5,5.5,5,2,55000000,37.9,78834,78834,0
CA,37.56,-122.29,94404,San Mateo,Provade,2004-01-01,2022-04-26,2006-01-23,2010-08-11,2.06,6.61,,,5,4,15180000,61.65,128220,128220,1
CA,37.4,-121.94,95134,San Jose,Infineta Systems,2008-01-01,2012-01-01,2010-05-07,2011-06-06,2.35,3.43,2.36,4,4,2,30000000,48.78,101468.42,101468,0
CA,37.76,-122.44,94114,San Francisco,Crowd Factory,2009-01-01,2022-04-26,2011-01-26,2011-01-26,2.07,2.07,2.58,4.37,6,1,6500000,49.91,103816.66,103817,1
NY,40.73,-73.99,10013,New York,Vizibility,2009-07-01,2022-04-26,2010-03-24,2013-02-06,0.73,3.61,1.59,4.1,5,5,4705910,33.07,68780,68780,1
CA,37.55,-121.99,94555,Fremont,CV Ingenuity,2008-01-01,2013-07-01,2011-10-04,2013-01-24,3.76,5.07,,,2,3,30926154,42.67,88753.02,88753,0
NY,40.73,-73.99,10013,New York,Hotlist,2008-01-01,2013-05-01,2008-05-01,2012-01-01,0.33,4,2.36,3.67,8,4,1449998,30.65,63740,63740,0
MA,42.38,-71.11,2139,Cambridge,Crashlytics,2011-02-01,2022-04-26,2011-10-13,2012-04-10,0.7,1.19,0.66,2.62,5,2,6000000,32.33,67240,67240,1
MN,45.01,-93.47,55441,Plymouth,BridgePoint Medical,2005-01-01,2022-04-26,2007-01-23,2011-03-25,2.06,6.23,,,7,3,28200000,38.16,79380.55,79381,1
CA,37.78,-122.41,94104,San Francisco,Recurve,2005-08-01,2022-04-26,2008-09-23,2010-06-17,3.15,4.88,5,5,5,2,14000000,48.78,101468.42,101468,1
CA,37.78,-122.42,94108,San Francisco,Plizy,2010-09-01,2013-06-01,2011-05-19,2012-12-13,0.71,2.28,1.95,2.28,5,2,5200000,38.48,80031.11,80031,0
MA,42.3,-71.24,2494,Needham,RatePoint,2006-09-01,2012-02-02,2007-01-29,2010-08-20,0.41,3.97,4.25,5.77,13,4,24500000,45.78,95215.79,95216,0
CA,33.64,-117.86,92660,Newport Beach,Digital Performance,2002-01-01,2012-10-01,2006-11-27,2010-02-05,4.91,8.1,,,3,3,4476171,49.91,103816.66,103817,0
CA,37.51,-122.2,94063,Redwood City,Replay Solutions,2004-01-01,2022-04-26,2006-12-05,2008-08-18,2.93,4.63,,,13,2,15200000,48.78,101468.42,101468,1
NY,40.73,-74,10012,New York,Turf Geography Club,2011-01-01,2013-02-01,2011-08-15,2012-08-02,0.62,1.59,,,2,2,890000,33.07,68780,68780,0
CA,37.78,-122.42,94108,San Francisco,skyrockit,2001-01-01,2012-04-01,2011-07-12,2011-07-12,10.53,10.53,,,0,1,2600000,32.57,67750,67750,0
CA,37.32,-121.95,95128,San Jose,Certify Data Systems,2004-01-01,2022-04-26,2008-08-25,2012-02-15,4.65,8.13,6.01,6.01,4,4,7210210,61.65,128220,128220,1
CA,37.78,-122.42,94103,San Francisco,Wheelz,2011-01-01,2022-04-26,2011-09-28,2012-02-22,0.74,1.14,0.58,0.58,15,2,15700000,31.05,64584.29,64584,1
MA,42.38,-71.24,2451,Waltham,CentrePath,2000-01-01,2022-04-26,2005-09-06,2006-04-24,5.68,6.32,5.01,5.01,4,2,15050000,45.78,95215.79,95216,1
CA,37.81,-122.42,94111,San Francisco,VoxPop Network Corporation,2006-08-01,2022-04-26,2007-05-01,2009-05-01,0.75,2.75,1.58,4.53,5,2,3500000,40.82,84910,84910,1
CA,37.44,-121.92,95035,Milpitas,OpVista,2000-01-01,2009-08-01,2006-06-22,2007-05-07,6.48,7.35,5.01,5.01,2,2,43000000,48.78,101468.42,101468,0
CA,32.9,-117.21,92121,San Diego,Veoh,2004-01-01,2022-04-26,2005-07-01,2008-06-03,1.5,4.42,4.09,9.74,15,4,69750000,40.82,84910,84910,1
MA,42.34,-71.07,2118,Boston,BzzAgent,2001-01-01,2022-04-26,2004-01-01,2006-01-01,3,5,9.62,10.39,16,2,14500000,45.25,94116.66,94117,1
CA,37.4,-122.05,94043,Mountain View,Hammerhead Systems,2002-01-01,2009-03-23,2006-01-31,2007-08-01,4.08,5.58,,,2,2,48000000,38.38,79840,79840,0
PA,40.42,-79.9,15218,Pittsburgh,ThermalTherapeuticSystems,2006-06-01,2013-03-13,2009-12-01,2011-11-09,3.5,5.44,,,3,2,3508462,37.3,77580.09,77580,0
CA,37.78,-122.4,94404,San Mateo,GuardianEdge Technologies,2002-01-01,2022-04-26,2005-06-06,2007-07-23,3.43,5.56,7.84,7.84,10,3,19500000,48.78,101468.42,101468,1
CA,34.02,-118.49,90405,Santa Monica,Gradient X,2012-01-01,2022-04-26,2012-06-20,2012-06-20,0.47,0.47,1.1,1.68,5,1,3750000,32.57,67750,67750,1
CA,37.38,-122.04,94086,Sunnyvale,VoloMedia,2005-01-01,2011-02-03,2007-04-20,2008-03-18,2.3,3.21,3.59,4.58,4,2,12000000,49.91,103816.66,103817,0
CA,26.05,-80.14,95037,Morgan Hill,OfferLounge,2008-01-01,2010-05-01,2008-01-01,2008-01-01,0,0,,,3,1,120000,39.32,81790,81790,0
CA,37.39,-122.08,94041,Mountain View,NeoEdge Networks,2002-05-02,2022-04-26,2007-06-08,2010-12-20,5.1,8.64,5.67,6.9,10,3,10000000,49.91,103816.66,103817,1
TX,30.44,-97.77,78729,Austin,SemiSouth Laboratories,2000-07-01,2013-06-01,2005-06-14,2010-10-22,4.96,10.32,,,0,4,39000000,51.57,107270,107270,0
MA,37.23,-121.97,95032,Los Gatos,Amalfi Semiconductor,2003-01-01,2022-04-26,2006-02-01,2012-04-24,3.09,9.32,0.5,9.53,5,3,64000000,47.64,99100,99100,1
CA,37.8,-122.43,94115,San Francisco,NuConomy,2006-01-01,2022-04-26,2007-04-01,2008-02-01,1.25,2.08,2.5,5.32,4,2,3300000,49.91,103816.66,103817,1
CA,37.78,-122.42,94110,San Francisco,Flowtown,2009-02-01,2022-04-26,2010-08-25,2010-08-25,1.56,1.56,1.24,1.77,6,1,750000,47.99,99812.73,99813,1
GA,33.78,-84.39,30308,Atlanta,GlobalCrypto,2006-06-01,2012-07-06,2008-11-11,2008-11-11,2.45,2.45,,,0,2,1000000,39.35,81845.79,81846,0
NY,40.73,-73.99,10154,New York,Bioenvision,1996-01-01,2009-08-13,2007-04-30,2007-04-30,11.33,11.33,,,3,1,7410000,38.68,80464,80464,0
CA,37.4,-121.94,95134,San Jose,Teranetics,2000-01-01,2022-04-26,2006-11-21,2010-05-27,6.89,10.41,,,5,3,52800000,47.64,99100,99100,1
CA,33.97,-118.43,90094,Playa Vista,WebVisible,2001-01-01,2011-10-01,2005-09-01,2010-02-11,4.67,9.12,9.75,12.8,33,3,37000000,48.78,101468.42,101468,0
NY,40.73,-73.99,10013,New York,avVenta,2005-01-01,2022-04-26,2009-01-14,2009-01-14,4.04,4.04,6,6,10,1,20000000,57.19,118953.34,118953,1
RI,51.43,-2.66,2906,Providence,DiJiPOP,2008-11-01,2022-04-26,2009-08-01,2010-12-06,0.75,2.1,1.65,2.1,6,2,2000000,33.61,69905,69905,1
DC,38.9,-77.03,20005,Washington,Layer 7 Technologies,2003-01-01,2022-04-26,2006-10-26,2009-02-02,3.82,6.09,9.01,9.77,3,2,19900000,50.13,104265.3,104265,1
CA,37.79,-122.4,94105,San Francisco,Pipewise,2010-09-01,2012-10-01,2011-02-17,2011-02-17,0.46,0.46,1.28,1.82,16,1,3500000,61.65,128220,128220,0
CA,42.35,-71.55,1752,Marlborough,Camiant,2003-01-01,2022-04-26,2005-03-29,2007-01-11,2.24,4.03,,,3,2,16100000,45.78,95215.79,95216,1
CA,37.53,-122.26,94065,Redwood City,Amobee,2005-05-01,2022-04-26,2006-11-01,2011-03-01,1.5,5.84,6.17,8.35,25,6,72000000,49.91,103816.66,103817,1
TX,33.07,-96.71,75023,Plano,Auvitek International,2004-03-01,2011-02-20,2006-05-09,2006-05-09,2.19,2.19,,,32,1,9000000,51.57,107270,107270,0
CA,37.29,-121.94,94041,Mountain View,Outright,2008-06-01,2022-04-26,2008-11-01,2009-11-18,0.42,1.47,3.13,4.14,12,2,7500000,61.65,128220,128220,1
TX,30.27,-97.75,78701,Austin,Phurnace Software,2007-01-01,2022-04-26,2007-09-11,2008-07-01,0.69,1.5,3.42,3.42,9,2,10000000,41.18,85661.05,85661,1
CA,34.14,-118.14,91105,Pasadena,FastSoft,2006-01-01,2022-04-26,2007-06-11,2012-09-04,1.44,6.68,2,2,7,4,5965000,48.78,101468.42,101468,1
CA,37.47,-121.93,94538,Fremont,GrandCentral,2006-04-01,2022-04-26,2006-01-01,2006-01-01,-0.25,-0.25,-0.41,7.45,9,1,4000000,32.57,67750,67750,1
MI,42.55,-83.21,48025,Bingham Farms,Speedshape,2003-01-01,2013-08-01,2008-02-20,2008-02-20,5.14,5.14,7.01,7.01,2,1,5000000,41.65,86630,86630,0
CA,37.32,-121.95,95128,San Jose,BlueLithium,2004-01-01,2022-04-26,2005-02-01,2005-02-01,1.09,1.09,5.1,7.39,15,1,11500000,49.91,103816.66,103817,1
